HELPER,class,team
a.r. white07/30/2007hitchcock- tx,2027,BOS
abdul-rahim bin ridwan07/25/2005los angeles- ca,2027,ATL
adrian le du03/10/2006kamloops- bc,2027,CLE
adrian barajas04/18/2004colon- col,2027,DET
al cook07/27/2008clarksburg- wv,2027,CWS
al lane06/09/2008heber springs- ar,2027,CHC
al page11/14/2004mission- ks,2027,CHC
alan mcallister11/25/2008newark- nj,2027,TB
alan taylor09/28/2008ipswich- ma,2027,UNSIGNED
alan thomas08/22/2008palmdale- ca,2027,UNSIGNED
albert molina11/09/2008town 'n' country- fl,2027,CHC
alex clements10/08/2005pahokee- fl,2027,SEA
alex conway07/21/2004lake oswego- or,2027,MIN
alex mcdaniel06/27/2008kent- wa,2027,UNSIGNED
alex murphy01/07/2007waipahu- hi,2027,MIA
alex robinson04/26/2005stockton- ca,2027,CIN
alex shuster01/26/2008gahanna- oh,2027,UNSIGNED
alex thompson02/06/2005canterbury- nh,2027,KC
alfredo chaviano05/07/2008westchester- fl,2027,TEX
alfredo duran08/04/2004renovo- pa,2027,ATL
alfredo martinez04/09/2009long beach- ca,2027,UNSIGNED
alvin meyer12/01/2008fountain valley- ca,2027,CLE
anastasio gomez10/05/2008woodridge- il,2027,COL
andy hubbard06/13/2008newark- oh,2027,CWS
andy joyce10/24/2008council bluffs- ia,2027,UNSIGNED
andy oliver10/31/2006sacramento- ca,2027,DET
andy pacheco01/01/2007farmington- mn,2027,ATL
andy page06/10/2005bowling green- ky,2027,KC
andy small11/29/2008homewood- al,2027,UNSIGNED
andy thompson12/06/2008anderson- sc,2027,UNSIGNED
antonio gonzalez03/01/2008posen- il,2027,TB
antonio gutierrez02/22/2007trujillo alto- car,2027,OAK
antonio leon03/14/2005port huron- mi,2027,MIL
antonio mendoza06/11/2005castaic- ca,2027,KC
antonio rios08/10/2008marion- oh,2027,UNSIGNED
arlen miller08/02/2005oxon hill-glassmanor- md,2027,ARI
arnold platt12/12/2004toronto- on,2027,OAK
art o'brian03/09/2008seattle hill-silver firs- wa,2027,BOS
artie bass10/02/2008auburn- al,2027,BAL
artie carrion01/18/2008houston- tx,2027,NYM
artie crowder11/23/2008brownsville- tx,2027,DET
artie douglas03/31/2004victorville- ca,2027,KC
artie grant09/17/2007ridgewood- nj,2027,DET
artie hennessey02/17/2006downers grove- il,2027,KC
artie martin07/08/2008anchorage- ak,2027,SD
artie owens10/10/2006montclair- ca,2027,NYM
artie powell09/23/2008finneytown- oh,2027,STL
artie russell01/02/2005new berlin- wi,2027,MIN
artie wright09/27/2008braidwood- il,2027,ARI
arturo santos06/01/2004belleville- nj,2027,MIL
arturo ybarra08/24/2005north las vegas- nv,2027,UNSIGNED
aslak kverneland11/06/2005schaumburg- il,2027,TB
augusto alvarado01/07/2006aibonito- gua,2027,BOS
augusto rodriguez04/23/2006sterling- va,2027,MIA
ben adams04/12/2006tyrone- ga,2027,UNSIGNED
ben barnard07/21/2008springs- ny,2027,CLE
ben evans11/16/2006chicago- il,2027,TB
ben jones11/10/2008bristol- va,2027,UNSIGNED
ben o'meara01/09/2006blue springs- mo,2027,ARI
ben price08/14/2004salt lake city- ut,2027,MIL
ben schneider11/10/2008sunrise manor- nv,2027,SEA
ben shaw12/02/2005columbus- oh,2027,UNSIGNED
ben walters02/22/2009port arthur- tx,2027,TOR
ben zimmerman11/11/2006silver spring- md,2027,ARI
bennie donadio03/25/2008linden- nj,2027,TOR
bennie o'herlihy09/06/2008lake mohawk- nj,2027,BAL
benny foote09/18/2009mirabel- qc,2027,COL
bernardo ruiz11/09/2005bayamon- bay,2027,TB
bert phillips04/28/2009maynard- ma,2027,UNSIGNED
bill snow09/26/2008beaupre- qc,2027,UNSIGNED
billy cook05/24/2009redondo beach- ca,2027,UNSIGNED
billy emerson05/07/2008statesville- nc,2027,PHI
billy finley10/17/2003redwood- tx,2027,STL
billy huanosto08/24/2005wildwood- nj,2027,NYY
billy maclean10/13/2005medford- nj,2027,SF
billy moore10/08/2008brooklyn park- mn,2027,UNSIGNED
bo armstrong09/13/2008lower merion- pa,2027,UNSIGNED
bo calverley05/11/2005san diego- ca,2027,BOS
bob burgess11/13/2008long beach- ca,2027,CHC
bob campbell03/30/2006tampa- fl,2027,NYY
bob carpenter08/21/2008hallandale- fl,2027,TOR
bob fenwick05/20/2004oakland- ca,2027,CWS
bob forrest08/09/2003west whittier-los nietos- ca,2027,KC
